Percent Increase,Unit Number,Hours,z_covariate
0,101,0,1
0.4741,101,250,1
0.9255,101,500,1
2.1147,101,750,1
2.7168,101,1000,1
3.511,101,1250,1
4.3415,101,1500,1
4.9076,101,1750,1
5.4782,101,2000,1
5.9925,101,2250,1
6.7224,101,2500,1
7.1303,101,2750,1
8.0006,101,3000,1
8.9193,101,3250,1
9.494,101,3500,1
9.8675,101,3750,1
10.9446,101,4000,1
0,102,0,1
0.7078,102,250,1
1.2175,102,500,1
1.8955,102,750,1
2.2954,102,1000,1
2.865,102,1250,1
3.7454,102,1500,1
4.4192,102,1750,1
4.9894,102,2000,1
5.5148,102,2250,1
6.0668,102,2500,1
6.6385,102,2750,1
7.1615,102,3000,1
7.7778,102,3250,1
8.4242,102,3500,1
8.9092,102,3750,1
9.2834,102,4000,1
0,103,0,1
0.7074,103,250,1
1.1651,103,500,1
1.7253,103,750,1
1.9888,103,1000,1
2.5325,103,1250,1
2.9695,103,1500,1
3.2977,103,1750,1
3.9354,103,2000,1
4.1613,103,2250,1
4.4459,103,2500,1
4.889,103,2750,1
5.2696,103,3000,1
5.6913,103,3250,1
6.0216,103,3500,1
6.4485,103,3750,1
6.8849,103,4000,1
0,104,0,1
0.3634,104,250,1
0.6161,104,500,1
1.3597,104,750,1
1.9525,104,1000,1
2.2995,104,1250,1
2.9468,104,1500,1
3.3871,104,1750,1
3.7863,104,2000,1
4.1116,104,2250,1
4.5013,104,2500,1
4.7209,104,2750,1
4.9766,104,3000,1
5.2812,104,3250,1
5.615,104,3500,1
5.9503,104,3750,1
6.1438,104,4000,1
0,105,0,1
0.2707,105,250,1
0.6144,105,500,1
1.1093,105,750,1
1.773,105,1000,1
2.0625,105,1250,1
2.5835,105,1500,1
2.9863,105,1750,1
3.3765,105,2000,1
4.0491,105,2250,1
4.626,105,2500,1
5.237,105,2750,1
5.6191,105,3000,1
6.0449,105,3250,1
6.3167,105,3500,1
7.0952,105,3750,1
7.5941,105,4000,1
0,106,0,1
0.3584,106,250,1
1.3922,106,500,1
1.9541,106,750,1
2.8617,106,1000,1
3.4552,106,1250,1
3.8117,106,1500,1
4.533,106,1750,1
5.3541,106,2000,1
5.9217,106,2250,1
6.7078,106,2500,1
7.7027,106,2750,1
8.6053,106,3000,1
9.1477,106,3250,1
9.951,106,3500,1
10.4857,106,3750,1
11.0096,106,4000,1
0,107,0,1
0.3637,107,250,1
0.9237,107,500,1
1.2098,107,750,1
1.4591,107,1000,1
1.9323,107,1250,1
2.3862,107,1500,1
2.6799,107,1750,1
2.9397,107,2000,1
3.4183,107,2250,1
4.0857,107,2500,1
4.5843,107,2750,1
4.8402,107,3000,1
5.1145,107,3250,1
5.5691,107,3500,1
6.114,107,3750,1
7.1723,107,4000,1
0,108,0,1
0.458,108,250,1
1.0678,108,500,1
1.4163,108,750,1
1.7659,108,1000,1
2.1061,108,1250,1
2.3969,108,1500,1
2.78,108,1750,1
3.0187,108,2000,1
3.289,108,2250,1
3.7542,108,2500,1
4.1595,108,2750,1
4.7575,108,3000,1
5.1597,108,3250,1
5.4591,108,3500,1
5.8085,108,3750,1
6.245,108,4000,1
0,109,0,1
0.5098,109,250,1
0.9308,109,500,1
1.5713,109,750,1
1.9576,109,1000,1
2.5871,109,1250,1
3.2892,109,1500,1
3.6075,109,1750,1
4.1148,109,2000,1
4.5964,109,2250,1
4.913,109,2500,1
5.3408,109,2750,1
5.8418,109,3000,1
6.3961,109,3250,1
6.8441,109,3500,1
7.2037,109,3750,1
7.8848,109,4000,1
0,110,0,1
0.4136,110,250,1
1.488,110,500,1
2.381,110,750,1
2.995,110,1000,1
3.835,110,1250,1
4.501,110,1500,1
5.251,110,1750,1
6.256,110,2000,1
7.051,110,2250,1
7.803,110,2500,1
8.321,110,2750,1
8.93,110,3000,1
9.554,110,3250,1
10.45,110,3500,1
11.28,110,3750,1
12.21,110,4000,1
0,111,0,1
0.4435,111,250,1
0.9978,111,500,1
1.5738,111,750,1
1.9584,111,1000,1
2.5093,111,1250,1
2.8436,111,1500,1
3.4682,111,1750,1
4.007,111,2000,1
4.5124,111,2250,1
4.8018,111,2500,1
5.2042,111,2750,1
5.6556,111,3000,1
6.1951,111,3250,1
6.5405,111,3500,1
