Percent Increase,Unit Number,Hours,z_covariate1,z_covariate2,z_covariate3
0,101,0,70,50.88473411,1
0.4741,101,250,70,48.46248265,1
0.9255,101,500,70,49.34089824,1
2.1147,101,750,70,52.97678837,1
2.7168,101,1000,70,55.23416392,1
3.511,101,1250,70,49.01020684,1
4.3415,101,1500,70,51.63839082,1
4.9076,101,1750,70,48.80849248,1
5.4782,101,2000,70,51.14798447,1
5.9925,101,2250,70,52.19998952,1
6.7224,101,2500,70,46.91567036,1
7.1303,101,2750,70,51.37418393,1
8.0006,101,3000,70,53.00551016,1
8.9193,101,3250,70,50.46153976,1
9.494,101,3500,70,58.64920696,1
9.8675,101,3750,70,46.95721278,1
10.9446,101,4000,70,46.31470114,1
0,102,0,60,41.25060347,1
0.7078,102,250,60,54.5524129,1
1.2175,102,500,60,54.33541276,1
1.8955,102,750,60,49.6005358,1
2.2954,102,1000,60,54.49237995,1
2.865,102,1250,60,50.91851712,1
3.7454,102,1500,60,51.45395067,1
4.4192,102,1750,60,50.56472359,1
4.9894,102,2000,60,52.19976094,1
5.5148,102,2250,60,50.50831222,1
6.0668,102,2500,60,63.93667614,1
6.6385,102,2750,60,44.16667485,1
7.1615,102,3000,60,40.72850459,1
7.7778,102,3250,60,44.29659428,1
8.4242,102,3500,60,44.53328272,1
8.9092,102,3750,60,47.83195352,1
9.2834,102,4000,60,49.15765061,1
0,103,0,30,48.9073322,0
0.7074,103,250,30,52.70667218,0
1.1651,103,500,30,51.94633102,0
1.7253,103,750,30,53.75614492,0
1.9888,103,1000,30,58.8912795,0
2.5325,103,1250,30,56.11531276,0
2.9695,103,1500,30,43.58371948,0
3.2977,103,1750,30,38.35522742,0
3.9354,103,2000,30,54.50965733,0
4.1613,103,2250,30,40.82180658,0
4.4459,103,2500,30,50.33378456,0
4.889,103,2750,30,50.17739743,0
5.2696,103,3000,30,61.13584039,0
5.6913,103,3250,30,49.65392873,0
6.0216,103,3500,30,47.46338468,0
6.4485,103,3750,30,51.17904836,0
6.8849,103,4000,30,51.22902426,0
0,104,0,30,50.35022605,0
0.3634,104,250,30,46.95709745,0
0.6161,104,500,30,43.8870331,0
1.3597,104,750,30,51.5825018,0
1.9525,104,1000,30,43.28565382,0
2.2995,104,1250,30,44.83907828,0
2.9468,104,1500,30,56.65607943,0
3.3871,104,1750,30,47.90548402,0
3.7863,104,2000,30,49.29839139,0
4.1116,104,2250,30,54.49911164,0
4.5013,104,2500,30,48.49944497,0
4.7209,104,2750,30,55.14682856,0
4.9766,104,3000,30,48.27467014,0
5.2812,104,3250,30,55.06400932,0
5.615,104,3500,30,53.14667292,0
5.9503,104,3750,30,48.93492459,0
6.1438,104,4000,30,45.67151346,0
0,105,0,40,44.78445849,0
0.2707,105,250,40,48.64965594,0
0.6144,105,500,40,47.80929322,0
1.1093,105,750,40,47.95662843,0
1.773,105,1000,40,54.91772618,0
2.0625,105,1250,40,48.51151428,0
2.5835,105,1500,40,55.71839455,0
2.9863,105,1750,40,47.34189941,0
3.3765,105,2000,40,54.86282864,0
4.0491,105,2250,40,47.38874758,0
4.626,105,2500,40,50.88288897,0
5.237,105,2750,40,54.85368912,0
5.6191,105,3000,40,47.93013863,0
6.0449,105,3250,40,47.80864741,0
6.3167,105,3500,40,60.01695305,0
7.0952,105,3750,40,54.7549675,0
